pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,817.26
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,818.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,819.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,819.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,817.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,818.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,818.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,822.47
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,823.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,824.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,824.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,821.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,822.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,822.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,823.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,825.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,825.68
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,825.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,822.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,822.83
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,822.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,824.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,825.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,825.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,825.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,823.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,823.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,824.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,828.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,829.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,828.4
